source1_entity_id,missed_target_id,reason,country_mismatch,beyond_rank_cut,postings_budget_dropped
S1-513951795,S2-784868587,beyond_rank_cut,False,True,False
S1-492626032,S2-267065838,beyond_rank_cut,False,True,False
S1-149956545,S2-820626415,beyond_rank_cut,False,True,False
S1-149956545,S3-482101046,beyond_rank_cut,False,True,False
S1-988264554,S3-652264683,no_shared_term,False,False,False
S1-428363553,S3-895407932,beyond_rank_cut,False,True,False
S1-397625966,S3-694025074,beyond_rank_cut,False,True,False
S1-726008270,S3-738482715,beyond_rank_cut,False,True,False
S1-950611157,S3-648020345,no_shared_term,False,False,False
S1-574457821,S2-970658735,beyond_rank_cut,False,True,False
S1-619318472,S2-129721433,no_shared_term,False,False,False
S1-619318472,S2-56430857,no_shared_term,False,False,False
S1-91284491,S3-770867853,beyond_rank_cut,False,True,False
S1-377934395,S2-687366480,no_shared_term,False,False,False
S1-440432707,S2-305765340,beyond_rank_cut,False,True,False
S1-440432707,S2-811127426,beyond_rank_cut,False,True,False
S1-440432707,S2-993706928,beyond_rank_cut,False,True,False
S1-886590515,S2-986652637,no_shared_term,False,False,False
S1-805075295,S3-663473419,beyond_rank_cut,False,True,False
S1-43489466,S3-42121397,no_shared_term,False,False,False
S1-308232226,S3-957879349,beyond_rank_cut,False,True,False
S1-841483713,S2-575490049,no_shared_term,False,False,False
S1-841483713,S2-827252611,no_shared_term,False,False,False
S1-613291475,S3-773950739,beyond_rank_cut,False,True,False
S1-376332219,S2-862902150,beyond_rank_cut,False,True,False
S1-45252741,S3-104517610,no_shared_term,False,False,False
S1-251784291,S3-438700065,beyond_rank_cut,False,True,False
S1-408136441,S2-520891213,no_shared_term,False,False,False
S1-554328298,S2-202335999,beyond_rank_cut,False,True,False
S1-895327647,S3-288722949,beyond_rank_cut,False,True,False
S1-82241338,S2-328902775,no_shared_term,False,False,False
S1-918293300,S2-152865103,no_shared_term,False,False,False
S1-459043501,S2-804309340,no_shared_term,False,False,False
S1-643476116,S3-649757066,beyond_rank_cut,False,True,False
S1-717729227,S3-163187201,beyond_rank_cut,False,True,False
S1-738226129,S2-901386970,beyond_rank_cut,False,True,False
S1-103661528,S2-498470605,beyond_rank_cut,False,True,False
S1-259129190,S3-84701056,beyond_rank_cut,False,True,False
S1-722895091,S2-821361064,beyond_rank_cut,False,True,False
S1-855474733,S3-683368893,beyond_rank_cut,False,True,False
S1-362484590,S3-811496204,beyond_rank_cut,False,True,False
S1-280356954,S2-811814583,beyond_rank_cut,False,True,False
S1-116084940,S3-915503000,beyond_rank_cut,False,True,False
S1-130581300,S3-854251068,beyond_rank_cut,False,True,False
S1-973485660,S3-180020046,no_shared_term,False,False,False
S1-56152194,S2-397604970,beyond_rank_cut,False,True,False
S1-56152194,S2-555075607,beyond_rank_cut,False,True,False
S1-217180410,S3-779884550,beyond_rank_cut,False,True,False
S1-102638382,S3-500033463,beyond_rank_cut,False,True,False
S1-107161019,S3-564552604,beyond_rank_cut,False,True,False
S1-813975428,S3-740613556,no_shared_term,False,False,False
S1-426254212,S2-944033038,beyond_rank_cut,False,True,False
S1-171054276,S2-477513214,no_shared_term,False,False,False
S1-171054276,S3-941541945,beyond_rank_cut,False,True,False
S1-40718764,S2-280855346,beyond_rank_cut,False,True,False
