source1_entity_id,true_match_count,candidate_count,hits,missed_target_ids
S1-555841067,2,300,2,
S1-951110899,7,300,7,
S1-105320460,7,300,7,
S1-317498014,3,300,3,
S1-766397865,4,7,3,S3-65887500
S1-176890193,3,300,3,
S1-436272055,3,300,3,
S1-437156860,4,300,4,
S1-134364194,7,300,7,
S1-256901312,2,300,2,
S1-764894175,2,300,2,
S1-121581896,4,300,4,
S1-870118159,0,189,0,
S1-731133418,2,300,2,
S1-629287498,3,151,3,
S1-285590122,3,300,3,
S1-77563335,1,300,1,
S1-115226952,2,300,2,
S1-734355278,4,300,4,
S1-955153848,3,243,3,
S1-357447653,5,300,5,
S1-974859470,4,213,4,
S1-915483496,0,300,0,
S1-995873827,4,300,4,
S1-545533386,6,300,4,"S3-200911313,S3-696396160"
S1-291804448,3,300,3,
S1-604139912,3,300,3,
S1-599617191,0,300,0,
S1-204482071,4,300,4,
S1-144979450,4,300,4,
S1-877733833,6,300,6,
S1-937581146,5,300,5,
S1-969740873,3,300,3,
S1-189323653,1,300,1,
S1-602437327,4,300,4,
S1-329248153,4,300,4,
S1-588111239,5,300,5,
S1-252933342,4,51,4,
S1-318969741,4,300,4,
S1-186761262,2,300,2,
S1-488367875,1,300,1,
S1-798077365,4,300,4,
S1-638392265,3,300,3,
S1-580958676,3,300,3,
S1-712891390,3,300,3,
S1-832382358,3,300,3,
S1-475141483,3,270,3,
S1-15849627,5,300,5,
S1-659455322,5,64,5,
S1-756408162,1,300,1,
S1-142288436,5,300,5,
S1-161161081,3,300,3,
S1-779036023,4,300,4,
S1-479052600,5,231,5,
S1-493287546,2,300,2,
S1-277418112,2,300,2,
S1-475888190,3,300,2,S2-763285690
S1-123299727,2,300,2,
S1-938830142,2,300,2,
S1-338292982,5,300,5,
S1-413691643,3,300,3,
S1-417195150,4,300,4,
S1-932224651,0,300,0,
S1-831667588,3,300,3,
S1-102043549,2,300,2,
S1-457575664,6,300,6,
S1-557441154,2,300,2,
S1-581975052,4,300,4,
S1-665687115,4,300,4,
S1-344941440,2,300,2,
S1-446399053,8,300,8,
S1-687103026,3,300,3,
S1-753843914,4,300,4,
S1-826274823,2,300,2,
S1-142492455,2,300,2,
S1-99795974,3,300,3,
S1-92773868,3,300,3,
S1-950174003,2,300,2,
S1-535523030,3,214,3,
S1-473239904,2,300,2,
S1-875710758,2,300,2,
S1-586935557,4,300,4,
